Time::Relative Time!!R,Markers::Markers,Channel1_R3_Area::AF488_R3_Area!!R,Channel1_R3_IntensityAreaThrs::AF488_R3_IntensityAreaThrs!!R,Channel1_R3_IntensityMean::AF488_R3_IntensityMean!!R,Channel1_R3_IntensityMeanThrs::AF488_R3_IntensityMeanThrs!!R,Channel1_R4_Area::AF488_R4_Area!!R,Channel1_R4_IntensityAreaThrs::AF488_R4_IntensityAreaThrs!!R,Channel1_R4_IntensityMean::AF488_R4_IntensityMean!!R,Channel1_R4_IntensityMeanThrs::AF488_R4_IntensityMeanThrs!!R,FocusPosition::FocusPosition!!R,Event.Incubation.Channel1Temperature::Event.Incubation.Channel1Temperature!!R,Event.Incubation.Channel3Temperature::Event.Incubation.Channel3Temperature!!R,Event.Incubation.Channel4Temperature::Event.Incubation.Channel4Temperature!!R
"s",,,,,,,,,,,,,
0,"Focus Action: DefiniteFocusStabilize:  7104.209 µm:  -0.81 - -0.72s  DefiniteFocusStabilize Result: Success, Position: 7104.209 µm, Quality: 52, Start: 7104.209 µm, X: 2599.433 µm, Y: -1831.466 µm",1.7930592078453,1.7930592078453,154.98084677419,154.98084677419,1.2453808409329,1.2453808409329,355.48911465893,355.48911465893,7104.209,37.2,37.1,37
1.1501835,"Focus Action: DefiniteFocusStabilize:  7104.355 µm:  0.58 - 0.91s  DefiniteFocusStabilize Result: Success, Position: 7104.355 µm, Quality: 52, Start: 7104.209 µm, X: 2599.433 µm, Y: -1831.466 µm",1.8111344014728,1.8111344014728,198.56686626747,198.56686626747,1.2381507634819,1.2381507634819,369.14452554745,369.14452554745,7104.355,37.2,37.1,37
2.062054,"Focus Action: DefiniteFocusStabilize:  7104.355 µm:  1.72 - 1.83s  DefiniteFocusStabilize Result: Success, Position: 7104.355 µm, Quality: 51, Start: 7104.355 µm, X: 2599.433 µm, Y: -1831.466 µm",1.845477269365,1.845477269365,189.18021547502,189.18021547502,1.2399582828446,1.2399582828446,331.74781341108,331.74781341108,7104.355,37.2,37,37
3.19635,"Focus Action: DefiniteFocusStabilize:  7104.527 µm:  2.64 - 2.97s  DefiniteFocusStabilize Result: Success, Position: 7104.527 µm, Quality: 52, Start: 7104.355 µm, X: 2599.433 µm, Y: -1831.466 µm",1.8129419208355,1.8129419208355,212.01794616152,212.01794616152,1.2453808409329,1.2453808409329,339.96226415094,339.96226415094,7104.527,37.2,37,37
4.2829833,"Focus Action: DefiniteFocusStabilize:  7104.631 µm:  3.77 - 4.05s  DefiniteFocusStabilize Result: Success, Position: 7104.631 µm, Quality: 51, Start: 7104.527 µm, X: 2599.433 µm, Y: -1831.466 µm",1.8219795176492,1.8219795176492,181.20436507937,181.20436507937,1.2489958796584,1.2489958796584,325.15340086831,325.15340086831,7104.631,37.2,37,37
5.9314802,"Focus Action: DefiniteFocusStabilize:  7104.781 µm:  5.46 - 5.72s  DefiniteFocusStabilize Result: Success, Position: 7104.781 µm, Quality: 51, Start: 7104.631 µm, X: 2599.433 µm, Y: -1831.466 µm
Timed Bleaching (LSM): 4.91s - 5.38s  Region 1:     488nm: 100.0%     514nm: 100.0%",1.8400547112767,1.8400547112767,34.601178781925,34.601178781925,1.2598409958348,1.2598409958348,318.44045911047,318.44045911047,7104.781,37.2,37,37
7.002226,"Focus Action: DefiniteFocusStabilize:  7104.863 µm:  6.52 - 6.78s  DefiniteFocusStabilize Result: Success, Position: 7104.863 µm, Quality: 51, Start: 7104.781 µm, X: 2599.433 µm, Y: -1831.466 µm",1.8129419208355,1.8129419208355,38.143569292124,38.143569292124,1.2273056473054,1.2273056473054,329.54933726068,329.54933726068,7104.863,37.2,37,37
8.0570843,"Focus Action: DefiniteFocusStabilize:  7104.947 µm:  7.58 - 7.84s  DefiniteFocusStabilize Result: Success, Position: 7104.947 µm, Quality: 51, Start: 7104.863 µm, X: 2599.433 µm, Y: -1831.466 µm",1.80932688211,1.80932688211,50.57042957043,50.57042957043,1.2417658022074,1.2417658022074,332.61572052402,332.61572052402,7104.947,37.2,37,37
8.9848423,"Focus Action: DefiniteFocusStabilize:  7104.947 µm:  8.65 - 8.76s  DefiniteFocusStabilize Result: Success, Position: 7104.947 µm, Quality: 51, Start: 7104.947 µm, X: 2599.433 µm, Y: -1831.466 µm",1.831017114463,1.831017114463,56.405725567621,56.405725567621,1.2544184377466,1.2544184377466,340.53170028818,340.53170028818,7104.947,37.2,37,37
